trial;TrialRound;setup;obj;trt_mix;trt_size;obj_pos_ID;fruit id;d1_mm;d2_mm;h_mm;w_g;ref_mm;H_lvl_from_top;zone;REAL_x_obj_mm;REAL_Z_lvl_mm;REAL_Z_obj_offset_mm;REAL_z_obj_mm;cam_dist_mm(REAL_Y);REAL_y_obj(i.e.,_offset_mm);cam_h1;cam_h2;cam_h3;cam_d1;cam_d2;cam_d3
Size_Pos;r5;2d;Apple;mix;med;2;17;59.86;55.96;52.34;89.81;56.05333333;1;M;0;2000;-80;1891.8;1516;-40;;;;;;
Size_Pos;r5;2d;Apple;mix;big;3;2;61.15;55.79;52.43;102.3003;56.45666667;1;R;500;2000;-80;1891.8;1516;-40;;;;;;
Size_Pos;r5;2d;Apple;mix;big;4;1;64.36;61.15;55.79;109.5162;60.43333333;2;L;-500;1700;-80;1590.1;1516;-40;;;;;;
Size_Pos;r5;2d;Apple;mix;med;5;1;58.82;59.52;52.47;98.09;56.93666667;2;M;0;1700;-80;1591.8;1516;-40;;;;;;
Size_Pos;r5;2d;Apple;mix;small;6;20;53.7;53.74;53.64;76.57;53.69333333;2;R;500;1700;-80;1591.2;1516;-40;;;;;;
Size_Pos;r5;2d;Apple;mix;med;7;2;61.05;58.45;49.82;93.14;56.44;3;L;-500;1400;-80;1293.1;1516;-40;;;;;;
Size_Pos;r5;2d;tball;mix;tball;8;tball;65.17892857;65.17892857;65.17892857;;65.17892857;3;M;0;1400;-80;1285.4;1516;-40;;;;;;
Size_Pos;r5;2d;Apple;mix;big;9;28;64.18;63.25;55.56;118.0496;60.99666667;3;R;500;1400;-80;1290.2;1516;-40;;;;;;
Size_Pos;r5;2d;Apple;mix;small;10;29;49.53;47.05;44.03;55.46;46.87;4;L;-500;1100;-80;996.0;1516;-40;;;;;;
Size_Pos;r5;2d;Apple;mix;big;11;21;69.87;68.44;63.17;157.5844;67.16;4;M;0;1100;-80;986.4;1516;-40;;;;;;
Size_Pos;r5;2d;Apple;mix;med;12;4;59.79;57.79;51.98;92.67;56.52;4;R;500;1100;-80;992.0;1516;-40;;;;;;
Size_Pos;r5;2d;Apple;mix;big;13;27;69.09;67.14;59.79;143.5971;65.34;5;L;-500;800;-80;688.1;1516;-40;;;;;;
Size_Pos;r5;2d;Apple;mix;med;14;31;57.87;57.12;52.73;89.94;55.90666667;5;M;0;800;-80;691.6;1516;-40;;;;;;
Size_Pos;r5;2d;tball;mix;tball;15;tball;65.17892857;65.17892857;65.17892857;;65.17892857;5;R;500;800;-80;685.4;1516;-40;;;;;;
