image,setup,Trunk-Cam_dist[mm],ObjType,Position,FSize[1],FSize[2],FSize[3],Xgt[m],Ygt[m],Zgt[m],Xestimated[m],Yestimated[m],Zestimated[m],Manhattan[m],Euclidean[m]
color_1_3_1.png,2D,1528.0,Apple,11,0.047740000000000005,0.04786,0.04485,0.0,0.051,0.978,0.0,0.01,0.988,0.05000000000000001,0.04123105625617661
color_1_3_1.png,2D,1528.0,Apple,12,0.052950000000000004,0.05125,0.04795,-0.474,0.051,0.976,-0.474,0.034,1.006,0.05000000000000003,0.03605551275463992
color_1_3_1.png,2D,1528.0,Apple,13,0.05348,0.048310000000000006,0.04739,0.473,0.053,0.676,0.473,0.02,0.686,0.0399999999999999,0.031622776601683764
color_1_3_1.png,2D,1528.0,Apple,14,0.0465,0.0464,0.04376,0.0,0.052,0.678,0.0,0.02,0.688,0.0399999999999999,0.031622776601683764
color_1_3_1.png,2D,1528.0,Apple,15,0.04747,0.0475,0.04828,-0.476,0.052,0.676,-0.476,0.03,0.686,0.029999999999999902,0.022360679774997855
color_1_4_0.png,2D,1542.0,Apple,1,0.04845,0.049159999999999995,0.0418,0.476,0.064,1.879,0.476,0.035,1.939,0.08000000000000004,0.06324555320336764
color_1_4_0.png,2D,1542.0,Apple,2,0.05986,0.05596,0.052340000000000005,0.0,0.066,1.864,0.0,0.032,1.914,0.08999999999999983,0.06403124237432835
color_1_4_0.png,2D,1542.0,Apple,3,0.061149999999999996,0.05579,0.05243,-0.469,0.066,1.864,-0.469,0.032,1.884,0.059999999999999803,0.04472135954999571
color_1_4_0.png,2D,1542.0,Apple,4,0.06436,0.061149999999999996,0.05579,0.468,0.065,1.562,0.468,0.06,1.592,0.030000000000000027,0.030000000000000027
color_1_4_0.png,2D,1542.0,Apple,5,0.05882,0.05952,0.052469999999999996,0.0,0.064,1.564,0.0,0.03,1.604,0.07000000000000003,0.05000000000000003
color_1_4_0.png,2D,1542.0,Apple,6,0.053700000000000005,0.05374,0.05364,-0.473,0.066,1.563,-0.473,0.05,1.613,0.07000000000000005,0.053851648071345085
color_1_4_0.png,2D,1542.0,Apple,7,0.06105,0.05845,0.04982,0.469,0.065,1.265,0.469,0.05,1.305,0.05000000000000003,0.04123105625617664
color_1_4_0.png,2D,1542.0,Apple,8,0.047920000000000004,0.046560000000000004,0.04639,0.0,0.066,1.277,0.0,0.02,1.327,0.10000000000000005,0.07071067811865478
color_1_4_0.png,2D,1542.0,Apple,9,0.06418,0.06325,0.055560000000000005,-0.468,0.064,1.262,-0.468,0.05,1.292,0.04000000000000002,0.03162277660168382
color_1_4_0.png,2D,1542.0,Apple,10,0.049530000000000005,0.047049999999999995,0.04403,0.475,0.065,0.978,0.475,0.04,1.008,0.050000000000000024,0.03605551275463991
color_1_4_0.png,2D,1542.0,Apple,11,0.06987,0.06844,0.06317,0.0,0.066,0.958,0.0,0.06,0.978,0.030000000000000027,0.022360679774997918
color_1_4_0.png,2D,1542.0,Apple,12,0.059789999999999996,0.05779,0.05198,-0.47,0.065,0.964,-0.47,0.031,0.994,0.060000000000000026,0.042426406871192875
color_1_4_0.png,2D,1542.0,Apple,13,0.06909,0.06714,0.059789999999999996,0.465,0.065,0.66,0.465,0.05,0.68,0.030000000000000013,0.02236067977499791
color_1_4_0.png,2D,1542.0,Apple,14,0.05787,0.05712,0.05273,0.0,0.065,0.664,0.0,0.04,0.684,0.040000000000000015,0.028284271247461912
color_1_4_0.png,2D,1542.0,Apple,15,0.04747,0.0475,0.04828,-0.476,0.066,0.676,-0.476,0.02,0.696,0.06999999999999991,0.05385164807134501
color_1_4_1.png,2D,1538.0,Apple,1,0.04845,0.049159999999999995,0.0418,0.476,0.06,1.879,0.476,0.04,1.929,0.07000000000000003,0.05385164807134508
color_1_4_1.png,2D,1538.0,Apple,2,0.05986,0.05596,0.052340000000000005,0.0,0.062,1.864,0.0,0.032,1.904,0.06999999999999981,0.04999999999999985
color_1_4_1.png,2D,1538.0,Apple,3,0.061149999999999996,0.05579,0.05243,-0.469,0.062,1.864,-0.469,0.052,1.884,0.02999999999999979,0.022360679774997713
color_1_4_1.png,2D,1538.0,Apple,4,0.06436,0.061149999999999996,0.05579,0.468,0.061,1.562,0.468,0.039,1.592,0.050000000000000024,0.03605551275463991
color_1_4_1.png,2D,1538.0,Apple,5,0.05882,0.05952,0.052469999999999996,0.0,0.06,1.564,0.0,0.03,1.604,0.07000000000000003,0.05000000000000003
color_1_4_1.png,2D,1538.0,Apple,6,0.053700000000000005,0.05374,0.05364,-0.473,0.062,1.563,-0.473,0.033,1.603,0.07000000000000003,0.05000000000000003
color_1_4_1.png,2D,1538.0,Apple,7,0.06105,0.05845,0.04982,0.469,0.061,1.265,0.469,0.05,1.305,0.05000000000000003,0.04123105625617664
color_1_4_1.png,2D,1538.0,Apple,8,0.047920000000000004,0.046560000000000004,0.04639,0.0,0.062,1.277,0.0,0.02,1.317,0.08000000000000003,0.056568542494923824
color_1_4_1.png,2D,1538.0,Apple,9,0.06418,0.06325,0.055560000000000005,-0.468,0.06,1.262,-0.468,0.06,1.292,0.030000000000000027,0.030000000000000027
color_1_4_1.png,2D,1538.0,Apple,10,0.049530000000000005,0.047049999999999995,0.04403,0.475,0.061,0.978,0.475,0.026,0.998,0.05000000000000002,0.036055512754639904
color_1_4_1.png,2D,1538.0,Apple,11,0.06987,0.06844,0.06317,0.0,0.062,0.958,0.0,0.06,0.978,0.020000000000000018,0.020000000000000018
color_1_4_1.png,2D,1538.0,Apple,12,0.059789999999999996,0.05779,0.05198,-0.47,0.061,0.964,-0.47,0.051,0.994,0.04000000000000002,0.03162277660168382
color_1_4_1.png,2D,1538.0,Apple,13,0.06909,0.06714,0.059789999999999996,0.465,0.061,0.66,0.465,0.05,0.68,0.030000000000000013,0.02236067977499791
color_1_4_1.png,2D,1538.0,Apple,14,0.05787,0.05712,0.05273,0.0,0.061,0.664,0.0,0.05,0.684,0.030000000000000013,0.02236067977499791
color_1_4_1.png,2D,1538.0,Apple,15,0.04747,0.0475,0.04828,-0.476,0.062,0.676,-0.476,0.03,0.686,0.0399999999999999,0.03162277660168376
color_1_5_0.png,2D,1535.0,Tennis_ball,1,0.0651789285714286,0.0651789285714286,0.0651789285714286,0.467,0.059,1.857,0.467,0.047,1.917,0.06999999999999983,0.06082762530298203
